ID;Age
212831;27
231747;21
192448;28
203376;28
208722;28
200145;28
192119;28
167495;34
165153;32
155862;34
153079;32
202652;25
20801;35
192985;29
212622;25
211110;26
190871;28
210257;26
202126;26
200389;27
162835;35
188545;31
201024;29
209331;28
183277;29
182521;30
215914;29
194765;29
233049;20
231281;21
218667;25
216267;26
212218;26
212198;25
209499;26
200104;27
201942;28
193041;33
138956;35
158023;33
189511;31
188567;31
186153;30
183898;32
177003;34
176580;33
167948;33
192387;30
189596;30
193080;29
204963;28
201535;27
199556;27
195864;27
208830;33
152729;33
177683;31
168542;34
143076;32
189332;31
183711;30
231866;24
223848;25
202556;26
235790;21
235243;20
232363;25
231677;22
230621;21
206113;24
222492;24
208670;27
220440;25
207865;26
204485;29
210243;26
212188;24
189513;31
201399;27
228702;23
198219;29
184087;31
164240;35
193747;28
178603;31
192563;28
192505;27
191043;29
189509;29
188377;30
190460;28
185122;30
184344;33
175943;33
198706;27
182493;34
181291;29
180206;30
188350;31
226790;23
216460;25
212194;24
230142;23
231478;22
239085;19
212462;27
213345;24
210035;24
230658;23
212190;24
209889;26
211300;24
207863;31
209658;25
208421;25
209989;27
199451;29
211256;27
204838;29
216352;27
200458;26
189117;29
200647;32
185020;33
197965;30
197781;28
197445;28
193474;30
193165;27
192629;32
190483;29
198176;28
226753;24
135507;35
176266;33
184432;30
168435;33
163587;33
177413;31
178005;32
179813;33
146536;34
235212;21
228618;25
231443;23
203486;27
230481;28
229880;22
229261;23
216594;26
224334;28
225953;22
225100;23
222665;21
221363;23
221087;25
220407;31
219693;27
239053;21
208093;28
230666;23
216547;27
200949;27
212151;25
208574;27
211688;25
211117;24
210514;26
210413;25
205069;27
205678;30
205600;26
205498;28
205070;28
204923;26
215333;29
207410;26
227928;26
199434;31
170890;33
186345;29
199564;28
199482;29
199042;31
197061;28
193314;29
193301;29
198717;27
192774;29
190941;30
189575;27
189242;28
188152;28
192984;28
199845;32
186942;29
188943;29
187961;31
183512;30
199914;29
181872;33
184134;32
180930;34
178518;32
176676;32
173731;30
178562;32
172871;33
163705;35
41236;38
169416;31
162347;33
167664;32
169195;32
220814;24
217940;28
204970;27
236583;28
230375;28
226226;24
226161;25
226110;25
225375;23
224293;23
223952;27
223697;25
220834;24
208418;26
245279;23
216354;29
208808;28
215698;24
205632;25
206585;25
208333;26
207862;26
209960;28
210665;28
212523;26
214997;25
215316;28
204120;31
230168;32
203263;27
190815;30
203841;28
198329;29
193105;27
193525;29
194404;30
198009;27
201095;32
198710;28
200888;28
201153;27
201305;29
190286;29
202857;30
193698;30
178750;31
177457;31
1179;42
186561;29
157481;34
176635;31
177388;33
168651;32
180403;31
184200;31
182494;34
185103;34
183907;31
181458;31
226271;24
234906;22
235374;26
239231;21
239818;23
241852;20
241461;20
242444;20
251573;22
233419;23
207877;27
234396;19
230258;20
231943;23
230430;28
230384;24
230347;20
230294;28
230256;28
230225;24
229984;23
227796;21
236792;25
227290;28
223689;27
225850;24
216189;28
205988;24
216393;23
216409;26
220697;23
222716;24
223959;24
216201;26
220793;24
210455;26
215998;30
215330;25
215223;27
213565;24
211990;26
211591;23
210008;25
209297;27
224411;23
208461;29
226851;24
193283;28
199575;31
193348;28
197655;29
195365;29
205659;26
205452;27
205175;26
204935;26
204639;29
204399;32
204259;28
203551;29
202651;26
204884;25
201995;27
201417;28
200610;27
200454;26
200260;28
199987;31
220971;25
198950;28
202371;28
205693;26
173426;32
201119;30
198164;30
177458;31
193082;32
41;36
192638;29
192318;28
190972;29
187754;32
183574;32
179846;33
177610;31
188803;32
173521;33
171877;32
167628;33
164835;35
163489;33
156616;37
156519;30
120533;37
205849;29
153244;34
245299;36
238794;19
239207;23
241671;25
244369;22
245294;32
245308;32
245300;36
245304;32
245305;28
245309;28
245313;28
235569;23
205923;27
232411;22
233306;23
232119;24
240130;22
230869;23
233064;21
232665;24
232656;22
232432;22
230313;32
228093;22
227813;23
230271;20
251700;31
230201;24
229906;22
229668;25
227950;25
226166;22
227127;25
223724;27
222509;23
225193;24
216388;23
230204;24
224458;23
224232;23
223874;25
210411;25
222331;24
221992;24
221660;25
220651;23
219985;28
219683;25
214979;26
210406;26
213648;24
236632;23
206467;27
227055;25
206517;24
207566;28
208330;25
208596;26
214584;33
208618;29
210935;25
211241;28
211320;25
211748;26
212404;26
212814;27
204525;29
241095;22
203890;28
202166;26
199503;27
199823;27
200536;27
200724;30
200726;29
201922;27
190544;28
202562;27
202750;29
203574;26
203605;28
203747;25
203843;32
202695;27
198951;29
190584;30
199005;28
190674;29
192064;29
192789;29
192883;31
192679;30
195093;28
195859;27
198141;29
196432;34
197242;30
194022;29
197853;27
189362;33
189805;29
191202;31
168609;35
184431;33
202477;26
177604;34
178086;33
178372;36
179645;31
179844;31
179944;33
184942;30
173373;33
185221;32
187072;31
188829;30
189125;30
189690;33
189271;29
173771;35
184941;31
204311;25
159145;34
172522;31
9014;36
171579;33
170368;28
167397;34
162240;32
169588;32
189505;32
148119;34
139068;33
138412;34
45186;38
159261;37
245306;28
243238;33
245302;32
245297;24
245295;32
210896;25
244621;25
244260;22
243812;19
238476;21
241727;24
241486;21
241184;23
240754;24
239433;25
237942;22
237239;24
228092;22
237238;23
234943;23
233096;24
234742;22
234612;22
236987;20
234378;21
234153;23
234035;24
233738;23
233731;20
232293;21
231969;27
230498;20
230312;28
230251;20
230234;24
230216;28
230184;20
229558;21
229167;24
228941;24
228687;22
237692;20
228520;26
228251;24
223578;31
227536;29
216643;25
226456;24
225663;24
219789;28
225508;26
225263;23
224309;25
224254;24
224179;27
222709;31
224196;25
219809;25
221479;23
220253;24
220182;25
220132;28
220018;26
222028;24
219792;25
210736;25
222400;24
213956;24
216531;27
216475;32
216194;30
216145;28
215590;26
215071;32
215061;30
214394;26
214092;24
214040;29
213761;29
213661;24
213331;24
212442;27
212187;26
211575;26
211515;25
211147;24
227535;23
211022;26
234642;28
199110;29
203895;28
202642;28
192366;32
210385;26
208920;25
208620;27
208498;28
208448;28
208128;26
208104;27
207807;26
207439;26
206511;26
206413;30
206304;29
205569;25
204638;27
204614;29
204105;28
203299;29
202935;30
202789;28
208141;26
175379;33
192598;30
213516;25
210617;25
199416;30
201454;29
201400;27
201519;27
201143;28
200110;29
199715;30
199641;28
197225;31
199354;31
199304;28
199254;28
201455;27
198784;26
193983;28
193198;28
193171;32
202048;27
192492;34
201956;29
191740;30
190813;27
190143;30
189881;30
189682;30
189560;32
189053;32
188081;30
187936;31
187607;31
186569;31
186537;33
184881;30
183900;31
183498;35
183394;30
183108;33
182002;30
178424;33
181786;34
180216;31
187052;30
178509;33
169595;29
177633;33
178088;32
177326;35
176930;33
176919;34
176600;33
210625;25
172879;32
172114;34
176550;31
184484;30
165229;34
163155;37
158121;32
142754;36
140233;34
24630;37
20775;36
168607;34
178311;33
255475;20
245315;32
244470;27
244778;20
245298;32
247851;22
245324;32
247204;21
247263;21
244316;21
244467;25
239301;22
243282;20
242348;26
241771;31
241464;23
241084;23
240900;23
240679;22
240243;21
236679;22
237678;21
229857;24
236593;21
231691;21
235805;22
230442;20
235889;22
234835;25
234236;24
232580;22
231447;21
231352;22
231340;23
230977;26
230767;22
230460;20
210047;28
235353;22
230440;32
230426;20
230406;24
237183;24
230385;28
230360;20
230285;24
230212;20
230206;32
230183;20
230147;25
230020;27
222357;23
229391;24
219681;26
228336;24
226766;24
226491;23
225997;26
225711;24
225116;23
225085;24
223898;23
223816;26
223597;27
223113;25
224069;27
220604;29
220093;26
222943;28
209973;27
222077;22
221491;23
221445;28
220883;24
220477;26
223053;32
223061;26
212692;24
219581;26
217546;29
216435;25
216373;32
216150;28
215057;30
214947;24
214766;31
214097;26
214047;29
213666;24
213160;26
212501;25
212300;26
212213;27
212183;31
212153;26
212096;27
211899;29
210864;26
210537;28
210463;27
210315;25
210287;27
229237;24
235410;23
230065;23
110677;36
207993;27
220523;25
204024;29
124375;34
208520;30
208295;30
208268;25
208135;27
207791;26
207599;27
207557;30
207441;26
207421;25
206545;28
206058;27
205976;27
205705;30
205686;28
205525;27
205364;30
205192;26
205114;32
204936;27
204529;26
204125;29
203775;27
202811;27
193738;30
191687;31
209288;28
201042;27
200155;27
200315;28
200529;30
202429;26
202335;26
201315;29
201325;34
202024;28
202325;28
199393;32
199915;28
198077;29
199206;31
199189;26
198949;28
198658;26
194229;29
163264;34
190149;31
202884;27
204077;25
198657;27
166706;35
189068;31
209846;27
169705;30
180714;34
170733;33
177392;34
198129;31
165109;33
176376;35
173306;33
198140;29
190717;30
198031;28
190243;32
194222;30
194209;33
193601;29
193352;27
193152;32
192546;29
192123;28
192086;29
192227;28
192045;29
189280;30
196978;28
188988;27
173909;33
188427;34
140293;36
188268;32
188042;32
188041;31
198719;26
186547;29
198118;29
183353;32
178250;34
178213;31
175254;31
183899;31
173221;33
158626;34
143001;36
173208;33
143121;35
154472;38
146296;33
171791;36
171897;33
172962;29
142707;37
230182;20
222501;24
193061;29
201510;27
206115;25
220710;23
236572;20
223273;25
191011;29
155946;32
230938;23
225024;23
220421;26
201988;31
225309;23
239482;22
54050;34
226380;24
241788;27
157960;34
208509;25
230269;24
184703;34
192641;28
204308;27
198946;31
212811;26
194333;32
201508;29
224031;27
230431;28
186143;29
189472;31
146952;36
189251;30
212491;26
154950;36
194879;30
189250;30
211267;27
242236;23
226627;25
215108;31
230727;23
192270;30
179783;31
211784;23
213577;28
236355;23
216380;24
197756;28
223550;26
234045;23
228413;23
181820;30
183855;32
201262;29
185132;31
223249;32
190745;29
186905;30
196889;27
200215;29
213135;25
239890;20
189712;30
186395;30
200316;27
215399;26
219258;27
186190;29
185422;28
230241;28
226637;24
236401;22
179789;32
245325;28
216655;28
185431;32
237135;29
224081;24
193361;29
180819;32
194644;29
198230;33
203106;26
176994;33
198513;28
207471;31
192622;28
185195;31
210282;30
176495;37
225126;25
217699;32
195096;29
247394;20
208230;31
212067;31
182896;31
191076;29
235619;21
197948;29
178007;34
205407;28
170370;30
205186;28
229517;25
229773;26
240716;22
224394;26
213874;28
246147;18
224371;23
202849;27
207732;29
214132;29
164468;34
194932;28
157301;33
173432;32
205965;28
189324;30
188044;30
223627;31
208777;25
183427;30
221832;25
212616;26
207494;27
229764;23
216452;25
208004;28
226162;23
228747;24
190577;32
231521;21
223329;26
206652;26
179847;33
207664;33
199833;29
246172;21
229788;29
190875;33
190113;31
243630;20
230043;21
199577;28
200094;27
213400;27
202648;26
213655;24
200855;27
212886;25
179605;31
206493;32
224158;23
216820;24
217036;27
234226;25
189681;29
178415;32
212207;27
189165;28
204538;29
201982;30
232862;25
230346;24
182945;32
232097;23
201377;28
225951;25
215455;25
210324;27
238227;21
208787;26
189606;32
186801;30
158133;35
192678;30
232104;22
194728;28
215466;28
153260;42
203980;27
225201;24
205995;26
246960;18
224422;23
189615;30
178224;32
188103;29
226229;23
222390;24
204472;28
230331;36
202685;29
193469;31
186302;32
230337;32
104389;35
221639;26
216266;24
241096;20
227236;24
161956;35
193683;29
215716;25
158963;34
220570;24
204277;31
163301;34
235945;23
216466;26
169706;31
224490;23
213991;25
196069;35
216549;24
203483;27
200677;29
230371;24
244193;22
190432;34
203487;26
215259;27
205201;26
240699;23
206651;31
186682;32
215353;27
190264;30
198200;29
245303;36
240950;22
245301;32
230965;24
196147;34
251698;32
205362;27
192816;28
245296;32
229624;29
194794;30
152908;34
236506;23
222715;26
206590;26
205566;27
206225;29
214781;31
193532;32
226300;24
212219;25
219391;27
208364;27
238074;20
189433;30
189177;28
204760;26
231416;22
220414;27
202493;30
174543;37
208334;30
184274;31
184575;31
231633;23
236496;21
210384;27
187598;29
230349;28
220621;24
197837;29
197083;32
191180;31
230379;32
203757;29
201505;30
218659;24
238370;22
205346;27
195586;31
232223;24
207894;30
205855;26
183580;31
221697;24
203030;28
213013;26
205966;26
224003;27
216320;25
216065;28
194845;29
216350;29
190324;29
224540;24
228635;23
209523;26
224263;23
224116;30
200054;28
205431;27
171875;31
210761;26
179527;33
175895;31
186392;30
234777;25
242201;25
197402;31
232730;23
188955;30
210972;26
146439;34
146758;35
252935;21
169792;30
228414;24
240190;24
227647;23
230463;32
245311;32
215616;25
230208;32
199745;28
225341;26
207939;30
208451;26
199737;29
184392;30
230967;26
213814;26
235634;24
147006;37
209981;29
193290;29
172049;33
215051;30
225293;25
217870;26
188942;29
190734;30
221201;26
228881;23
146963;37
246844;24
210212;29
220196;22
208165;27
232229;22
230457;28
190778;29
146748;38
205427;29
183130;30
189296;31
234573;23
219733;26
234569;20
230475;28
188770;29
204876;28
207948;24
253004;17
234574;21
186197;29
198991;29
205391;26
209744;31
229712;24
238160;22
184144;32
234833;22
178255;34
205402;26
143699;35
176733;33
201303;28
183129;30
215639;24
187735;30
185174;30
134744;37
153177;33
244263;26
193887;31
207707;31
193116;31
188253;29
216158;27
215135;33
204385;29
221014;24
223058;27
152916;36
209519;26
228708;24
226377;27
191628;30
193158;28
225403;24
212602;26
226168;23
221540;30
229221;25
224396;28
179560;31
190824;28
202089;29
231786;26
181098;36
217196;30
180334;33
228236;28
213388;27
195668;30
203903;25
183125;32
202851;29
184190;32
187491;30
213629;26
200318;28
213374;31
201858;28
225161;23
195202;29
216451;28
201860;30
225659;25
176772;31
199561;33
215689;25
232999;21
184858;31
173608;30
216816;24
152996;33
173474;32
227234;23
158625;36
235424;24
222368;24
204691;30
230348;28
211093;27
227222;25
235926;22
185239;30
236461;23
192663;32
190362;30
244380;21
211101;24
189860;29
219814;25
191910;32
233195;22
210930;27
236786;23
237043;21
238067;20
236532;23
178416;32
229582;24
227275;24
239015;22
168621;31
230317;28
226221;26
192427;31
172203;32
224425;25
190120;30
201118;28
212127;29
233631;23
220085;24
248243;17
216497;26
244915;21
188335;28
206516;25
198581;32
230328;36
200630;28
176571;30
211382;27
212150;24
222134;31
234678;23
201144;31
200746;26
207537;25
214977;27
159175;36
236441;24
231361;23
220334;27
200353;28
212911;28
236221;28
192445;29
231102;22
210881;25
207554;28
207562;28
232381;23
212678;26
233927;22
239817;21
183497;34
201931;27
230318;20
212977;25
206003;26
243686;24
190416;30
160741;33
189156;31
188388;30
213732;26
199652;26
228579;23
218339;24
238305;25
230625;25
183520;30
198368;32
182495;33
223710;26
224221;24
214491;29
186330;33
231887;23
230373;24
234128;24
194911;33
251696;35
174379;35
189423;31
202282;28
251691;39
230189;28
190765;29
192557;28
204082;27
194958;29
241202;21
222515;27
232244;23
232756;22
201269;27
142902;36
214838;29
222160;24
227890;25
204497;26
221174;27
199419;30
184826;31
214009;27
201976;26
210679;28
247030;26
225782;22
216054;30
226045;25
183285;30
173546;31
212204;27
186351;30
218066;27
208621;29
229359;31
164859;31
237556;26
211454;27
192722;33
199935;29
189908;29
215270;28
204757;30
201939;27
234711;22
210136;26
202201;28
219862;27
226515;28
229862;23
215785;25
212623;24
177358;30
206591;26
233500;21
186115;30
197891;27
232487;27
184606;32
187421;31
200223;26
244253;22
189725;30
200478;28
220702;26
226078;25
210450;26
220948;29
221714;24
230423;28
236817;24
146947;27
251412;24
211999;26
201862;30
236311;24
137494;35
222994;26
233493;22
212245;26
183569;31
176915;34
212755;25
235794;22
211231;27
205083;31
228386;24
215322;26
199792;30
172143;34
220932;30
214639;31
186990;29
226414;24
193133;29
170084;33
206152;33
230401;24
237383;21
198683;28
225562;25
224538;25
211738;27
232226;32
205850;31
186648;30
215064;30
181271;31
231936;22
235008;23
239872;28
206594;25
164376;34
230402;20
230427;24
172316;33
224294;23
235042;32
216335;30
196934;27
225028;27
212023;29
181318;30
230213;24
219717;25
235844;22
208449;27
231235;22
225859;24
204355;28
226370;23
208450;24
235073;22
162369;35
228675;23
193847;32
251702;34
223297;27
170797;31
144429;34
189484;29
251692;34
186156;28
221740;25
243245;19
214572;31
212267;26
230186;36
220714;24
218154;29
201073;29
214570;28
200519;29
205633;31
229636;25
184873;33
209669;31
188166;29
236295;23
238095;22
219145;26
214026;27
238858;23
188938;34
242187;20
161805;35
233486;23
238857;25
186408;35
236073;24
215103;33
194359;33
207935;33
206655;30
240702;24
172862;34
206654;26
243007;27
186684;31
214076;36
245307;36
203067;34
230202;28
193849;29
190520;30
179516;32
186992;31
163925;37
216433;25
203362;25
237646;24
220502;25
245327;32
162895;33
225359;31
214350;29
191565;30
191053;32
191055;31
178253;33
230219;24
245322;28
234826;23
226378;30
214601;28
224348;31
234060;22
152912;39
230224;20
240976;22
201046;28
242516;21
239956;19
233556;23
219732;25
215892;27
190547;32
229971;24
162131;35
225363;25
227927;23
185181;31
237681;19
242267;24
144172;35
179546;31
235866;22
202330;29
193881;28
247641;20
253272;28
194904;29
225880;30
220763;25
221016;28
183895;33
192087;29
241497;21
203872;33
202078;29
229980;23
47201;37
246113;22
240471;25
231777;21
254048;23
252000;20
208224;28
236639;25
214111;33
193886;30
192350;30
190558;31
222558;25
204883;26
168530;34
227153;27
210281;38
235389;23
215165;31
230524;28
228736;22
207616;25
230005;22
225653;24
235883;20
216939;29
215147;26
230250;28
202858;28
190569;34
215148;30
192358;30
183376;31
227174;22
223334;23
183909;32
170597;32
224869;28
198760;28
219244;25
230252;28
169324;34
209781;33
207733;26
192371;33
189043;31
183666;34
235134;23
220031;24
220287;25
230528;20
199767;27
230244;24
200826;30
221797;25
215930;24
215162;33
171896;33
225144;26
223608;30
157304;34
221306;29
189303;28
234102;23
206198;26
205942;31
198006;31
193141;34
182133;33
246646;20
168565;34
235899;22
213884;25
234568;21
228229;28
189060;29
132740;35
193408;28
242816;20
177019;32
192041;28
193011;29
148526;36
223885;23
134820;35
211108;27
238744;21
214692;28
199576;28
237207;22
205193;25
239045;25
176009;32
233866;22
192906;35
213899;27
191627;26
245388;20
246669;18
245155;19
194957;28
182670;32
204943;32
190607;32
198032;28
205970;26
231826;21
236690;29
178322;32
199827;33
215699;27
217235;32
221587;27
236947;22
194979;32
241827;24
155887;32
169115;34
243952;21
255472;22
167665;35
212722;26
186098;32
239592;20
216774;26
183280;34
230341;24
215193;26
215449;24
194201;29
205211;32
211099;25
192667;32
232099;24
201884;28
251804;19
228509;22
176285;31
182941;33
221342;22
225182;24
231070;27
191135;29
193440;30
234913;26
240289;24
211107;27
226211;23
237715;22
224151;27
230295;28
222123;27
204738;29
211381;26
211879;26
245158;22
224949;22
152999;38
211368;25
235944;23
239272;26
188840;33
203177;27
239529;22
178090;32
251182;23
178091;30
195479;28
182184;31
162220;31
172723;33
220332;27
227508;26
245426;20
240046;26
125871;30
207790;25
190885;29
201389;27
229804;25
214446;26
230323;24
253109;21
236480;23
225733;30
212933;31
205989;25
192146;33
237221;22
219576;28
213689;25
214971;26
231355;23
215228;30
227772;28
184252;32
236477;22
235454;21
241854;20
193470;28
213951;29
214207;29
223671;23
230336;32
200641;30
149185;35
226754;22
212419;27
225475;26
150724;33
222148;25
222404;24
171972;32
182212;32
224933;27
178160;33
246186;22
244206;20
199904;27
224218;24
161754;33
216283;28
235996;25
222429;24
223197;23
235997;21
239837;21
223198;26
231390;23
195038;27
200159;27
192991;29
228819;23
215251;28
238041;20
210897;25
228295;24
171975;35
189127;29
202697;26
210377;27
231113;24
232905;27
253385;22
194761;29
199626;30
216778;26
198347;31
235467;25
251353;28
229593;25
189388;30
213296;25
239342;23
152879;33
229942;22
139062;38
204341;32
193844;30
171828;35
207924;28
230195;28
240690;22
199986;33
233265;23
219953;28
176944;32
196143;32
220633;24
243015;25
190854;33
176794;33
237960;24
230355;36
236499;22
209620;25
230613;22
236245;24
243414;19
244950;26
201943;27
153048;29
231640;22
214988;26
198451;32
198861;28
224739;24
224251;25
237819;22
188155;30
190971;34
156412;39
218621;30
172287;34
179591;35
241907;22
226035;25
199667;29
169697;33
215522;24
238050;22
212196;25
173818;32
236772;19
184037;30
189157;31
193254;33
208615;27
233959;24
239335;22
242663;21
242118;23
226537;26
234730;23
215531;27
202445;26
208622;28
206075;27
162280;33
211706;27
212212;26
215502;22
236537;21
215245;26
228302;24
189390;31
204240;29
212432;28
232144;22
237520;23
199633;31
230354;28
201953;30
212449;30
214497;28
233934;22
150516;35
231414;24
218868;30
236791;25
218359;26
210423;25
208375;26
225783;22
215798;23
222457;25
230388;20
236276;23
199158;28
237560;22
207650;25
203796;29
189218;28
195363;28
200228;30
237604;23
186148;31
227873;24
226853;23
224030;22
230437;24
217877;24
243715;19
225669;25
169216;33
233218;26
177922;32
216067;30
211461;26
216325;24
232709;24
247045;28
219911;30
209440;29
239367;21
230665;27
226592;24
162329;35
243231;22
234774;27
230255;28
171018;33
241775;28
224368;25
164464;35
231280;25
204401;29
230507;28
215107;25
235813;24
207683;27
230422;32
241686;23
210719;25
167959;33
184089;31
192537;28
245275;23
219932;24
212253;27
222493;24
223517;24
230685;27
235029;22
204830;25
229406;26
234772;29
237629;21
199183;30
248386;20
241470;20
204863;27
215871;26
219455;26
177983;33
183871;32
219712;26
251712;34
216385;30
230465;28
232514;28
236610;20
224574;24
